id,followers_count,friends_count,created_at,group
83,3834,3850,1/17/2012,2
484,0,0,1/16/2012,2
362,3152,2522,11/20/2008,1
258,4421,4827,11/22/2011,2
116,1846,776,12/15/2010,1
387,1,0,3/28/2012,2
59,0,0,1/18/2012,2
76,3616,3841,5/20/2012,2
485,0,0,1/18/2012,2
104,492,680,3/28/2012,2
406,89,120,8/9/2010,1
115,4622,4905,1/16/2012,2
189,335,362,6/25/2010,1
99,1124,1222,1/4/2014,2
9,135,404,12/5/2007,1
33,7530,8101,1/1/2014,2
452,3823,4206,1/19/2012,2
490,0,0,1/17/2012,2
337,2844,326,2/5/2012,1
27,1625,1054,8/21/2013,1
428,974,856,9/26/2008,1
245,0,0,1/16/2012,2
253,705,580,2/16/2012,1
51,5676,6238,4/19/2012,2
204,73,71,4/14/2012,1
80,239,286,6/2/2010,1
340,34,100,1/18/2012,2
357,702,367,5/21/2012,1
412,4343,4362,5/20/2012,2
242,322,227,1/19/2011,1
331,3633,3964,1/17/2012,2
82,128,117,9/18/2010,1
192,0,0,1/17/2012,2
378,179,271,4/30/2012,1
3,44,156,2/20/2009,1
414,3033,2192,3/16/2013,2
78,149,181,2/11/2009,1
478,263,348,1/17/2012,2
329,4303,4726,1/18/2012,2
403,5907,5645,4/30/2012,2
135,132,621,11/14/2010,1
326,328,330,1/20/2011,1
419,1060,557,7/1/2010,1
429,105,0,1/17/2012,2
469,0,0,3/28/2012,2
453,9757,10677,1/3/2014,2
32,1373,2001,11/20/2008,1
309,439,564,7/25/2010,1
355,0,0,3/28/2012,2
307,75,142,6/11/2008,1
304,690,733,2/27/2009,1
38,5694,5987,6/20/2012,2
86,5091,5394,6/22/2012,2
77,46,86,12/20/2010,1
194,0,0,1/18/2012,2
147,155,80,10/4/2013,1
202,1066,961,3/9/2009,1
247,238,330,3/28/2012,2
295,468,155,8/27/2010,1
400,189,619,7/10/2010,1
464,1618,1502,3/28/2012,1
37,0,0,3/28/2012,2
336,599,901,12/22/2008,1
279,315,319,1/20/2009,1
455,458,414,2/6/2012,1
372,1,8,1/17/2012,2
136,0,0,1/17/2012,2
291,1547,1242,1/8/2014,2
384,703,223,3/27/2009,1
112,4771,5028,1/17/2012,2
174,0,0,3/28/2012,2
200,0,0,1/18/2012,2
40,0,0,1/17/2012,2
268,0,0,1/19/2012,2
459,268,362,3/28/2012,2
196,807,907,3/30/2009,1
498,3047,2914,1/18/2012,2
157,797,774,3/29/2012,1
151,416,67,3/3/2009,1
476,1,0,1/16/2012,2
449,1581,1000,9/12/2010,1
91,408,336,6/2/2010,1
113,5705,6275,6/22/2012,2
138,0,0,3/28/2012,2
248,202,300,4/20/2012,1
383,0,0,1/16/2012,2
426,247,299,1/18/2012,2
125,10885,1529,1/26/2009,1
310,8375,503,3/2/2007,1
289,3488,3835,1/8/2014,2
201,0,0,1/18/2012,2
126,374,372,2/19/2009,1
425,1276,337,12/5/2008,1
351,457,232,6/10/2012,1
301,416,345,6/6/2012,1
4,127,225,9/22/2008,1
333,0,0,1/17/2012,2
57,295,224,7/24/2010,1
290,232,174,4/30/2012,1
251,0,0,1/18/2012,2
217,57,55,11/24/2010,1
168,2,0,1/17/2012,2
450,0,0,1/17/2012,2
267,9798,9965,12/23/2013,2
317,1671,1668,3/18/2009,1
422,1234,442,6/5/2012,1
460,253,541,1/14/2009,1
81,11,31,1/17/2012,2
471,49,80,5/1/2012,1
489,5217,5724,1/17/2012,2
385,5886,6104,6/21/2012,2
185,1320,1699,3/16/2013,2
381,403,383,11/6/2010,1
178,0,0,1/17/2012,2
152,277,36,1/11/2013,2
8,850,399,4/22/2012,1
327,1108,998,3/23/2009,1
87,4607,4932,1/17/2012,2
203,243,393,3/5/2012,1
120,1944,2133,5/6/2012,2
170,342,538,1/19/2012,2
56,0,0,1/16/2012,2
366,132,375,1/27/2009,1
100,1214,1989,8/20/2008,1
19,68,281,1/18/2012,2
62,1070,357,1/10/2011,1
321,5272,5629,6/21/2012,2
254,939,1983,9/16/2010,1
447,4008,4394,1/17/2012,2
284,5868,6198,1/16/2012,2
305,0,0,3/28/2012,2
24,183,120,6/27/2010,1
22,25,33,1/18/2012,2
324,0,0,1/17/2012,2
233,6214,6315,6/20/2012,2
84,1951,750,11/30/2008,1
198,2368,1975,1/6/2014,2
313,1,0,1/17/2012,2
162,484,1388,8/6/2010,1
278,680,825,3/16/2013,2
434,177,641,2/18/2009,1
442,1,0,3/28/2012,2
409,481,687,11/14/2010,1
359,784,508,9/1/2010,1
94,8301,8510,5/15/2012,2
250,292,634,7/29/2010,1
494,361,670,9/22/2013,1
262,2874,3176,3/25/2012,2
72,1620,591,2/7/2007,1
16,980,491,12/24/2010,1
286,390,376,3/18/2012,1
150,0,0,1/17/2012,2
54,85,144,11/3/2010,1
223,5066,5569,3/1/2012,2
144,179,339,1/30/2009,1
127,250,328,1/17/2012,2
171,4844,5060,1/18/2012,2
131,274,1150,5/25/2010,1
423,315,311,7/11/2010,1
415,1325,2000,10/29/2008,1
481,385,200,10/27/2010,1
252,1158,1999,6/21/2010,1
117,746,237,12/29/2007,1
244,0,0,1/17/2012,2
430,2077,197,6/16/2012,1
111,743,628,6/7/2012,1
243,254,337,1/17/2012,2
393,0,0,1/17/2012,2
199,177,442,8/31/2010,1
154,0,0,1/19/2012,2
246,429,1989,3/3/2012,1
180,1203,2001,6/20/2012,1
220,159,381,11/2/2010,1
377,1217,1144,3/16/2013,2
276,211,206,9/27/2013,1
75,37,130,1/18/2012,2
110,534,860,6/12/2008,1
474,0,0,1/17/2012,2
397,1132,914,3/10/2014,2
338,154,152,9/18/2010,1
119,1,0,1/18/2012,2
145,0,0,1/17/2012,2
312,1798,2001,12/30/2013,2
64,261,359,3/10/2012,1
285,241,273,2/1/2012,1
398,71,181,2/1/2012,1
347,0,0,1/16/2012,2
20,986,1241,3/5/2009,1
21,3803,4143,5/4/2012,2
187,0,0,1/17/2012,2
475,5054,5560,6/20/2012,2
29,476,519,2/17/2009,1
133,204,1339,6/24/2010,1
458,5108,5553,3/28/2012,2
169,0,0,1/17/2012,2
224,0,0,1/16/2012,2
137,282,357,1/16/2012,2
352,608,483,3/3/2009,1
394,29,73,12/28/2013,2
129,282,371,1/17/2012,2
438,370,266,10/2/2013,1
55,583,407,4/6/2012,1
159,4616,5066,1/17/2012,2
128,25,68,2/7/2014,1
320,224,506,7/4/2010,1
454,466,682,10/19/2011,2
205,2622,1231,8/16/2008,1
107,0,0,1/16/2012,2
420,5,0,1/17/2012,2
156,0,0,1/16/2012,2
391,4126,4094,8/11/2008,1
348,1347,736,5/30/2010,1
448,0,0,1/17/2012,2
367,4159,4483,12/12/2011,2
344,1469,1152,3/23/2009,1
45,256,454,3/9/2009,1
209,945,1176,3/16/2013,2
153,284,335,1/18/2012,2
483,4645,4255,1/2/2014,2
346,354,893,8/27/2010,1
90,4669,5117,1/13/2014,2
298,2143,666,4/29/2012,1
343,38,155,10/4/2010,1
314,1,22,1/17/2012,2
349,1,0,1/17/2012,2
486,897,633,9/30/2008,1
98,458,603,4/12/2012,1
88,1295,1772,4/23/2012,2
282,5505,5701,1/12/2011,2
232,291,295,6/3/2012,1
479,2031,576,2/5/2009,1
92,4309,4169,5/10/2012,2
300,87,55,5/15/2012,1
164,271,261,11/1/2010,1
132,206,356,3/9/2009,1
229,3943,4338,3/28/2012,2
288,0,0,1/16/2012,2
457,1395,1325,1/2/2014,2
66,255,300,8/5/2010,1
165,5506,5518,3/28/2012,2
382,53,272,2/11/2012,1
424,5641,5836,5/10/2012,2
433,1209,713,4/1/2012,1
148,612,1518,2/6/2008,1
96,4326,4760,6/21/2012,2
188,237,324,1/19/2012,2
386,2164,2164,1/5/2014,2
68,0,0,1/17/2012,2
69,3937,3616,1/4/2009,1
43,168,403,12/29/2010,1
65,963,1820,5/26/2014,2
294,342,95,1/15/2008,1
499,245,151,9/17/2013,1
260,3901,4291,1/18/2012,2
432,192,323,2/17/2009,1
275,0,0,1/18/2012,2
472,0,0,1/17/2012,2
342,407,416,7/22/2010,1
28,445,530,3/16/2013,2
227,535,375,4/25/2008,1
256,1368,90,8/26/2010,1
146,212,143,7/26/2010,1
368,26,22,8/24/2010,1
334,297,338,1/16/2012,2
388,253,333,1/17/2012,2
390,1446,1047,11/3/2008,1
417,262,344,3/28/2012,2
350,1008,1756,12/2/2008,1
308,0,0,1/16/2012,2
173,0,0,1/18/2012,2
186,222,287,1/16/2012,2
299,3931,3954,1/17/2012,2
302,1415,2036,6/19/2010,1
25,567,478,3/19/2009,1
213,594,1408,3/30/2009,1
158,18,28,1/16/2012,2
60,6519,6741,6/21/2012,2
175,1400,422,11/16/2010,1
463,738,320,5/13/2013,2
369,1867,1643,3/16/2013,2
259,252,889,7/12/2010,1
416,369,86,6/8/2010,1
6,5043,4668,1/17/2012,2
456,786,705,8/23/2010,1
361,0,0,1/17/2012,2
375,241,341,1/17/2012,2
160,3997,4393,1/18/2012,2
70,0,0,3/28/2012,2
500,415,481,8/31/2010,1
73,546,266,7/15/2010,1
197,204,459,7/21/2010,1
124,1171,182,3/3/2009,1
71,1,0,1/17/2012,2
208,0,0,1/16/2012,2
183,0,0,1/18/2012,2
265,535,331,6/26/2012,1
172,3624,4054,4/27/2012,2
318,591,525,2/9/2012,1
443,4516,4618,1/19/2012,2
354,4025,4423,1/17/2012,2
214,13095,7672,10/24/2008,1
39,3913,165,6/9/2010,1
255,378,624,11/15/2010,1
31,1,0,1/17/2012,2
234,1632,2003,1/7/2014,2
211,451,406,4/23/2012,1
407,3550,3910,3/26/2012,2
303,41442,4967,3/11/2009,1
271,0,0,1/17/2012,2
370,0,0,1/17/2012,2
497,314,394,1/17/2012,2
328,1,0,1/18/2012,2
166,0,0,1/16/2012,2
106,5559,6103,6/21/2012,2
418,287,419,3/14/2012,1
410,230,222,4/1/2012,1
380,348,317,5/1/2012,1
330,589,517,12/21/2007,1
376,0,0,1/17/2012,2
237,350,791,8/15/2010,1
364,136,116,9/13/2010,1
139,606,270,10/5/2007,1
50,269,98,2/5/2009,1
52,4214,4343,5/1/2012,2
356,216,236,1/22/2009,1
495,44,78,1/20/2014,1
287,1500,1764,3/16/2013,2
26,15,27,1/17/2012,2
219,361,349,3/6/2009,1
238,423,152,4/28/2008,1
491,865,250,5/13/2012,1
371,183,300,5/8/2012,1
264,0,0,1/18/2012,2
206,1,0,1/18/2012,2
315,268,335,1/18/2012,2
23,0,0,1/17/2012,2
311,77,111,3/18/2009,1
36,2867,3068,1/5/2014,2
101,4974,5165,1/3/2014,2
277,4289,4559,3/28/2012,2
257,370,330,12/13/2013,1
389,458,455,12/12/2010,1
444,449,161,1/5/2014,2
226,2,0,1/17/2012,2
399,5,13,1/18/2012,2
95,170,271,3/20/2012,1
5,339,320,2/13/2012,1
49,1,0,1/18/2012,2
225,541,467,9/4/2007,1
231,242,233,11/18/2010,1
440,432,315,2/23/2009,1
263,4593,4793,1/17/2012,2
155,570,854,3/16/2013,2
374,255,225,4/12/2012,1
296,214,202,10/19/2013,1
230,5644,4714,5/15/2012,2
269,249,289,12/6/2013,1
408,42,203,2/19/2014,1
445,0,0,1/16/2012,2
228,344,434,9/13/2010,1
121,1522,1991,4/22/2012,2
446,2634,888,12/30/2008,1
341,0,0,1/17/2012,2
193,5089,5293,1/4/2014,2
122,0,0,1/17/2012,2
47,1972,1765,1/17/2012,2
323,4371,4649,1/17/2012,2
306,4887,5250,6/21/2012,2
15,865,937,3/16/2013,2
46,398,301,3/21/2007,1
108,1519,462,4/26/2012,1
266,1,0,3/28/2012,2
441,1227,413,3/12/2009,1
461,133,98,12/1/2013,1
239,29,41,1/18/2012,2
365,388,177,2/20/2009,1
473,27789,1403,3/13/2009,1
319,4423,4359,1/17/2012,2
493,200,78,2/16/2009,1
130,791,194,9/19/2013,1
427,49,191,12/13/2013,1
270,223,177,5/17/2012,1
42,164,397,4/15/2012,1
240,3232,2439,5/7/2012,1
105,25,36,1/18/2012,2
142,92,94,6/23/2010,1
181,2280,801,11/15/2010,1
470,665,1168,3/4/2009,1
163,1461,1448,3/5/2009,1
58,79,301,1/18/2012,2
222,4683,4580,6/21/2012,2
468,0,0,1/18/2012,2
325,308,326,1/27/2009,1
402,772,931,11/13/2008,1
466,3719,3838,1/17/2012,2
13,141,311,10/14/2010,1
79,1192,113,4/29/2012,1
373,6325,2,1/8/2013,2
103,236,504,9/8/2013,1
395,324,238,2/17/2012,1
